Eng,Rus 
Gender,"['пол', 'гендер', 'гендерного', 'пола', 'женщин', 'гендерной', 'гендерных', 'гендерное', 'полов', 'полу', 'гендера', 'гендеру', 'женщины', 'гендером', 'женщинам', 'женщинами']"
Force,"['заставлять', 'войско', 'вынуждать', 'силу', 'заставить', 'силовое', 'действует', 'войск', 'вынуждают', 'силы', 'сил', 'силами', 'заставляют', 'войска', 'вынудить', 'силовых', 'силовые', 'силового', 'действуют', 'действующих', 'действующие', 'заставляет', 'войсками', 'вынуждает']"
Act,"['закон', 'акт', 'действовать', 'деяние', 'выступать', 'действие', 'поступок', 'действия', 'закона', 'законом', 'закону', 'акта', 'актом', 'действуют', 'деяния', 'акте', 'выступают', 'действий', 'деянием', 'действиям', 'действует', 'действовали', 'выступить', 'выступает', 'деяний', 'поступком', 'поступка', 'поступке']"
Status,"['статус', 'состояние', 'положение', 'ход', 'положению', 'ходе', 'статусных', 'статуса', 'статусе', 'положения', 'состоянии', 'состояния', 'статусом', 'положении', 'состоянию', 'хода', 'статусные', 'статусной', 'ходу', 'статусным']"
Light,"['светлый', 'световой', 'светло', 'огонь', 'лайт', 'лампа', 'индикатор', 'фонарь', 'подсветка', 'свете', 'легкими', 'с учетом', 'освещения', 'освещенности']"
Procedures,"['процедуры', 'порядок', 'процедур', 'процедурами', 'процедурах', 'порядке', 'порядка', 'порядком']"
Program,"['программа', 'программный', 'программы', 'программных', 'программу', 'программой', 'программного', 'программные']"
Strategic,"['стратегический', 'стратегического', 'стратегических', 'стратегические']"
Attention,"['внимание', 'сведения', 'внимания', 'вниманием', 'вниманию', 'сведению']"
Investment,"['инвестирование', 'вложение', 'инвестиций', 'инвестиционных', 'инвестирования', 'капиталовложений', 'вложения', 'инвестиции', 'инвестиционной', 'инвестиционные', 'инвестиционного', 'инвестициям', 'инвестициями', 'капиталовложения', 'инвестированию', 'вложений', 'инвестировании', 'капиталовложениям', 'капиталовложениями', 'вложением']"
Importance,"['важность', 'значение', 'значимость', 'важную', 'важности', 'значения', 'значимости', 'значении', 'важностью', 'важным', 'важное', 'важной', 'значению', 'значимостью']"
Look,"['выглядеть', 'искать', 'взгляд', 'облик', 'слушай', 'посмотри', 'взгляни', 'глянь', 'просмотрите', 'похожи', 'заглянуть', 'изучить', 'кажутся']"
Equipment,"['оборудование', 'снаряжение', 'оснащение', 'инвентарь', 'техники', 'имущества', 'аппаратуры', 'средства', 'приборы', 'экипировки']"
Official,"['официальный', 'чиновник', 'сотрудник', 'официальной', 'должностное лицо', 'служебных', 'официальных', 'официальные', 'должностного лица', 'должностным лицом', 'служебного', 'чиновника', 'служебные', 'должностных лиц', 'служебным', 'сотрудника', 'чиновником', 'сотрудником', 'сотрудников', 'чиновников']"
Men,"['мужчин', 'люди', 'мужские', 'мужики', 'парни', 'солдат', 'мужей', 'мужчины', 'мужчинами', 'людей', 'мужчинам', 'человек', 'мужской', 'людьми', 'мужская', 'мужских', 'парней', 'мужиков', 'солдаты', 'мужи', 'мужиками', 'мужика', 'парнями', 'мужья', 'парням', 'солдатами', 'мужа', 'солдатам']"
Days,"['дней', 'суток', 'дня', 'дни', 'день', 'сутки', 'суткам', 'сутками']"
Russia,"['россия', 'русь', 'российский', 'россии', 'российской', 'РФ', 'руси', 'россию', 'россией', 'российского', 'российских', 'русью']"
Available,"['наличие', 'можно', 'распоряжение', 'доступны', 'имеющихся', 'предоставляемых', 'наличных', 'размещены', 'выделяемых', 'распространен', 'отсутствуют']"
Europe,"['европа', 'европе', 'европейской', 'ВОЗ', 'европы', 'европу', 'европейская', 'европейских', 'европейского']"
Annual,"['ежегодный', 'годовой', 'годичный', 'среднегодовой', 'годичной', 'среднегодовые', 'однолетнее', 'ежегодных', 'ежегодной', 'ежегодного', 'годового', 'годовых', 'годовые', 'годичные', 'однолетние', 'годичных', 'однолетних', 'среднегодовое', 'среднегодового', 'однолетней']"
Yeah,"['ну да', 'да да']"
Transport,"['транспорт', 'транспортировка', 'перевозить', 'транспортировать', 'перенос', 'транспорта', 'транспортных', 'перевозок', 'транспортировки', 'переноса', 'транспортной', 'транспорту', 'перевозки', 'транспортные', 'транспорте', 'транспортного', 'перевозке', 'перевозкам', 'транспортировке', 'транспортировку', 'переносе', 'переносу', 'перевозят', 'перевезти', 'транспортируйте', 'транспортируют', 'перевозите', 'транспортируем']"
Received,"['получил', 'поступивших', 'принял', 'получения', 'полученных', 'полученные', 'получила', 'поступившие', 'поступило', 'принят', 'поступили', 'приняла', 'получение', 'приняли', 'получении', 'получением']"
Later,"['позже', 'впоследствии', 'более позднем', 'затем', 'потом', 'последующие', 'конце', 'последние', 'позднее', 'поздно', 'попозже', 'более поздних', 'более поздней', 'более поздние', 'последующих', 'последующего', 'последующем', 'последних', 'конец', 'последнее', 'последний', 'конца', 'концу', 'пoтoм']"
Can't,"['не могу', 'не смогу', 'нельзя', 'не умею', 'ничего не', 'невозможно', 'не можешь', 'не может', 'не можем', 'не сможешь', 'не сможет', 'не сможем', 'не умеет', 'не умеешь', 'не умеют', 'ничем не', 'ничто не']"
Provides,"['обеспечивает', 'предоставляет', 'предусматривает', 'оказывает', 'дает', 'содержится', 'представляет', 'приводится', 'служит', 'гласит', 'закладывает', 'предоставление', 'излагаются', 'выделяет']"
Requested,"['просила', 'запросил', 'предложено', 'поручила', 'просьба', 'испрашиваемых', 'обратился', 'запрос', 'потребовал', 'просил', 'просит', 'просили', 'поручено', 'поручил', 'предложила', 'предложил', 'запрошенную', 'запросила', 'запрошенных', 'испрашиваемые', 'просьбе', 'просьбой', 'просьбы', 'испрошенных', 'испрошенного', 'предложили', 'обратилась', 'поручило', 'запросу', 'обратились', 'потребовали', 'потребовала', 'обратилось', 'запроса', 'запросы', 'потребовало']"
Internal,"['встроенный', 'внутреннего', 'внутригосударственного', 'встроенной', 'внутренних', 'внутренние', 'внутренней', 'внутригосударственных', 'внутригосударственные', 'внутригосударственным', 'встроенного', 'встроенных']"
Executive,"['исполнительный', 'исполнитель', 'административный', 'представительский', 'руководитель', 'исполнительного', 'исполнителя', 'административного', 'исполнительным', 'исполнительному', 'исполнителю', 'исполнителем', 'административное', 'административным', 'руководителей', 'руководителя', 'руководителем', 'представительского', 'представительские', 'представительском']"
Name,"['имя', 'название', 'наименование', 'фамилия', 'псевдоним', 'звать', 'зовут', 'назвать', 'псевдонимом', 'ФИО', 'имени', 'именем', 'названием', 'названия', 'фамилию', 'имен', 'названии', 'фамилии', 'наименования', 'наименованием', 'звали', 'назовите', 'назови', 'наименованию', 'фамилией', 'называют', 'зову']"
House,"['дом', 'house', 'хаус', 'домик', 'домашний', 'домой', 'здание', 'хауз', 'жилье', 'храм', 'палате']"
Issue,"['вопрос', 'проблема', 'выпуск', 'выдавать', 'тема', 'издание', 'выдачи', 'издать', 'проблематике', 'эмиссии']"
Problems,"['проблемы', 'задач', 'трудности', 'проблем', 'проблемами', 'проблемам', 'задачи', 'задачах', 'трудностей', 'трудностями', 'задачам', 'трудностях']"
Coordination,"['координация', 'координационный', 'согласование', 'координировать', 'координирование', 'скоординированность', 'координации', 'координационного', 'скоординированности', 'координацию', 'координационных', 'координационные', 'координацией', 'согласования', 'согласованию', 'координирующую', 'согласовании', 'координирующей', 'координирования', 'координирующая', 'координированию', 'координировании', 'скоординированностью']"
Governments,"['правительства', 'власти', 'правительственных', 'правительствам', 'правительств', 'правительствами', 'правительственные', 'правительственными', 'властями', 'властей', 'правительственным', 'властям']"
Above,"['выше', 'над', 'прежде', 'сверху', 'вышеуказанные', 'вышеупомянутых', 'вышеизложенные', 'вышеприведенные', 'вышесказанного', 'вышеперечисленные']"
Until,"['до', 'пока', 'до тех пор пока', 'дo', 'пoкa']"
Something,"['что-то', 'кое-что', 'что-нибудь', 'нечто', 'чем-то', 'чего-то', 'чему-то', 'чего-нибудь', 'чем-нибудь', 'кое-чем', 'кое-чего', 'кое-чему', 'чему-нибудь']"
Research,"['исследование', 'исследовательский', 'изучение', 'научный', 'исследовать', 'исследователь', 'исследования', 'исследовательских', 'научных', 'проведения научных исследований', 'исследователей', 'исследований', 'исследовательской', 'исследовательские', 'исследованиям', 'научные', 'изучения', 'научной', 'изучению', 'проведение научных исследований', 'проведению научных исследований', 'изучении', 'исследователи', 'проведении научных исследований', 'исследователя', 'исследуют', 'исследуйте', 'исследуем']"
Common,"['часто', 'общих', 'единого', 'распространенных', 'обычных', 'частой', 'общепринятой', 'обыкновенных', 'типичных', 'общности', 'характерно', 'часто встречающихся']"
Never,"['никогда не', 'больше не', 'никак не', 'никoгдa нe', 'никoгда не']"
Armed,"['вооруженных', 'вооруженные', 'вооруженными', 'вооруженного']"
Body,"['тело', 'орган', 'корпус', 'труп', 'свод', 'кузов', 'боди', 'кузова', 'тела', 'органа', 'органом', 'теле', 'органов', 'телом', 'корпуса', 'корпусе', 'корпусом', 'кузовом', 'кузовов', 'свода', 'трупа', 'своде', 'трупом', 'сводом', 'трупе']"
Help,"['помощь', 'способствовать', 'содействовать', 'справка', 'содействие', 'помочь', 'содействии', 'позволяют', 'облегчить', 'помощью', 'помогают', 'помощи', 'помогите', 'помоги', 'способствуют', 'справки', 'содействия', 'содействуют', 'способствует', 'справку', 'позволяет', 'позволит', 'позволить', 'способствующих', 'справке', 'содействует', 'содействию', 'содействовали', 'облегчают', 'облегчать', 'облегчает', 'пoмoщь']"
Standards,"['стандартов', 'нормы', 'уровня', 'стандартных', 'меркам', 'стандарты', 'стандартами', 'стандартам', 'норм', 'нормами', 'нормам', 'уровень', 'стандартные', 'уровне', 'уровнем', 'стандартной', 'стандартными', 'мерки']"
Bank,"['банк', 'bank', 'банковский', 'берег', 'бэнк', 'банковских', 'берегу', 'банка', 'банком', 'банке', 'банковские', 'банковского', 'берега', 'берегов']"
Operations,"['операций', 'деятельности', 'работы', 'оперативной', 'функционирования', 'эксплуатации', 'операционный', 'перевозок', 'операции', 'операциях', 'операциям', 'деятельность', 'работу', 'работ', 'деятельностью', 'работе', 'функционирование', 'оперативного', 'оперативных', 'оперативный', 'функционировании', 'эксплуатация', 'перевозки', 'эксплуатацию', 'операционного', 'функционированию', 'операционных', 'операционной', 'эксплуатацией', 'перевозкам', 'перевозками', 'деятельностей']"
China,"['китай', 'чайна', 'китайский', 'фарфор', 'китайской', 'КНР', 'фарфора', 'китая', 'китае', 'китаем', 'китайская', 'китайского', 'фарфоре', 'фарфором']"
Comprehensive,"['всеобъемлющий', 'полный', 'комплексный', 'всесторонний', 'исчерпывающий', 'обширный', 'совокупный', 'всеобъемлющего', 'комплексной', 'всестороннего', 'совокупном', 'всеобъемлющей', 'всеобъемлющую', 'комплексного', 'комплексных', 'всестороннее', 'всесторонней', 'полную', 'полное', 'полной', 'совокупного', 'исчерпывающую', 'исчерпывающей', 'обширная', 'исчерпывающим', 'обширную', 'обширные', 'совокупной']"
School,"['школа', 'училище', 'колледж', 'факультет', 'учебный', 'учеба', 'школы', 'школьных', 'учебного', 'учебу', 'школьников', 'школе', 'школу', 'школьного', 'школьные', 'школьной', 'учебном', 'училища', 'учебных', 'учебы', 'учебе', 'колледжа', 'колледже', 'факультета', 'факультете', 'училищем', 'училищу', 'факультетом', 'школьники', 'колледжем', 'школьникам', 'школьника']"
Bodies,"['органов', 'тела', 'трупы', 'кузовов', 'органы', 'органами', 'органам', 'тел', 'телах', 'телами', 'трупов', 'кузова', 'трупа', 'кузовах', 'кузовом', 'трупах']"
Environment,"['окружающей среды', 'условий', 'обстановки', 'экологической', 'окружения', 'экологии', 'атмосферу', 'природоохранной', 'природопользованию', 'конъюнктуры']"
Think,"['думать', 'мыслить', 'вспомнить', 'казаться', 'думаю', 'считаю', 'кажется', 'полагаю', 'задуматься', 'придумать', 'решил', 'думаешь', 'думаете', 'считаем', 'считают', 'считаешь', 'полагаем', 'полагают', 'решили', 'полагаете', 'вспомните', 'задумайтесь', 'мыслят', 'вспомни', 'решила', 'придумай', 'казалось', 'задумываются', 'задумайся', 'мыслим', 'мыслю', 'решить', 'придумайте', 'придумаем', 'кажутся', 'вспомнил']"
Submitted,"['представленный', 'поданных', 'переданы', 'представлению', 'представлен', 'представленных', 'представленные', 'подал', 'подано', 'поданные', 'передан', 'представления', 'переданных', 'передано', 'представление', 'представлении']"
Existing,"['существующих', 'имеющихся', 'действующих', 'нынешних', 'уже существующие', 'сложившейся', 'существующие', 'существующей', 'существующего', 'имеющиеся', 'действующие', 'действующего', 'действующими', 'имеющегося', 'имеющейся', 'нынешней', 'нынешние', 'нынешнего', 'уже существующих', 'сложившихся', 'уже существующим', 'уже существующий', 'сложившуюся', 'сложившиеся']"
Independent,"['независимый', 'независимость', 'независимых', 'самостоятельной', 'автономным', 'независимого', 'независимой', 'самостоятельного', 'независимости', 'самостоятельное', 'самостоятельным', 'независимостью', 'автономного', 'автономное', 'автономных']"
Requirements,"['требования', 'потребности', 'предписаниям', 'ассигнования', 'требованиям', 'требований', 'потребностей', 'требованиями', 'потребностях', 'потребностями', 'предписания', 'предписаний', 'предписаниями', 'ассигнований', 'ассигнованиями', 'ассигнованиях']"
Agreed,"['согласился', 'согласованных', 'решила', 'согласна', 'договорились', 'постановил', 'принято решение', 'достигнута договоренность', 'достигнуто согласие', 'оговорено', 'согласованию', 'пришла к согласию', 'условлено']"
Natural,"['естественный', 'натуральный', 'природа', 'природных', 'естественной', 'натуральные', 'физических', 'стихийных', 'природы', 'природного', 'природные', 'природными', 'естественных', 'естественным', 'натуральных', 'натурального', 'физическое', 'физические', 'физическим', 'стихийные', 'стихийными', 'стихийным', 'природе', 'природой']"
While,"['хотя', 'пока', 'при', 'во время', 'одновременно', 'пoкa']"
Although,"['хотя', 'несмотря', 'xотя']"
Department,"['департамент', 'кафедра', 'отдел', 'министерство', 'управление', 'отделение', 'факультет', 'подразделение', 'ведомство', 'ведомства', 'департамента', 'департаментом', 'департаменту', 'кафедры', 'отдела', 'кафедре', 'министерства', 'кафедрой', 'управления', 'отделе', 'отделом', 'министерством', 'отделении', 'отделения', 'управлением', 'управлении', 'министерстве', 'факультета', 'факультете', 'отделением', 'подразделения', 'ведомстве', 'ведомством', 'подразделением', 'подразделений', 'факультетом']"
Products,"['продукты', 'продукции', 'товары', 'изделия', 'препараты', 'продуктов', 'продукция', 'продукцию', 'товаров', 'изделий', 'продуктах', 'продуктами', 'продукцией', 'изделиях', 'товарах', 'товарами', 'изделиями', 'препаратов', 'препаратами', 'препаратах']"
Budget,"['бюджет', 'смета', 'бюджета', 'бюджетных', 'сметы', 'бюджете', 'бюджету', 'бюджетные', 'бюджетного', 'бюджетной', 'смету', 'смете']"
Continue,"['продолжать', 'по-прежнему', 'впредь', 'попрежнему', 'продолжение', 'сохраняться', 'далее', 'дальнейшее', 'продолжают', 'продолжить', 'продолжает', 'продолжения', 'сохраняются', 'дальнейшего', 'сохранятся', 'дальнейшие', 'сохранится', 'дальнейшем', 'продолжению', 'продолжением']"
Million,"['млн', 'миллион', 'миллионов', 'США', 'млн долларов', 'миллиона', 'миллионам']"
Appropriate,"['ассигновать', 'соответствующие', 'надлежащие', 'подходящим', 'необходимые', 'уместным', 'целесообразным', 'адекватных', 'приемлемым', 'в необходимости', 'случае необходимости']"
Technology,"['технология', 'техника', 'технологии', 'техники', 'технологических', 'технической', 'технологий', 'технологию', 'технике', 'технологические', 'технологического', 'технологической', 'технических', 'технику', 'технические', 'технического']"
Fund,"['фонд', 'финансировать', 'финансирование', 'средств', 'финансирования', 'фонда', 'фондом', 'фонду', 'средства', 'финансированию', 'финансируют', 'средствами', 'финансировании', 'финансирует', 'средствам', 'финансирующие']"
Representatives,"['представители', 'делегатам', 'представителей', 'представителями', 'представителям', 'делегатов', 'делегаты', 'делегатами']"
Provide,"['оказывать', 'предоставление', 'обеспечение', 'служить', 'оказание', 'предоставить', 'обеспечить', 'представить', 'предусматривают', 'дать', 'содержат', 'выделить', 'приводится', 'заложить', 'снабдить']"
Policies,"['политики', 'стратегий', 'директив', 'политических', 'политику', 'политика', 'политике', 'стратегии', 'стратегиях', 'стратегиями', 'директивы', 'политические', 'политической', 'директивами', 'директивах', 'политическим']"
Context,"['контекст', 'контексте', 'связи', 'рамках', 'условиях', 'контекста', 'условия', 'контекстом', 'условий', 'условиям', 'рамки', 'рамок', 'рамками']"
Provisions,"['положения', 'ассигнования', 'нормы', 'предписания', 'резервы', 'положений', 'положениями', 'положениям', 'норм', 'ассигнований', 'предписаниям', 'нормами', 'предписаний', 'предписаниями', 'резервов', 'нормам', 'ассигнованиями', 'резерв', 'ассигнованиях', 'резервах']"
African,"['африканский', 'африка', 'африканского', 'африки', 'африканских', 'африканским', 'африке', 'африкой']"
February,"['февраль', 'февраля', 'февральской', 'феврале', 'февралю', 'февральском', 'февральского', 'февральская']"
Large,"['большой', 'широкий', 'крупных', 'значительное', 'целом', 'огромное', 'обширные', 'крупногабаритных', 'просторная', 'многодетных', 'многочисленной']"
Continued,"['продолжала', 'продолжение', 'по-прежнему', 'дальнейшее', 'постоянное', 'сохраняющейся', 'попрежнему', 'непрерывного', 'неизменную', 'сохранение', 'непрекращающиеся', 'неустанные', 'впредь', 'постоянно']"
Made,"['сделал', 'внесены', 'принятых', 'изготовлен', 'выступил', 'произведены', 'заставил', 'высказанные', 'вынес', 'выполненные', 'совершил', 'предприняты', 'сформулированных', 'достигнут', 'составил', 'приготовила', 'выдвинутые', 'добились', 'взяли', 'заключил', 'достигнутый', 'приложены', 'прилагаемые', 'прозвучавшие', 'подано', 'превратил', 'заработал']"
Delegation,"['делегация', 'делегирование', 'делегации', 'делегацию', 'делегацией', 'делегирования', 'делегировании', 'делегированием']"
Major,"['майор', 'большой', 'капитальный', 'основных', 'крупных', 'важную', 'главных', 'серьезные', 'значительные', 'существенное', 'ведущих', 'масштабные', 'крупномасштабных']"
Court,"['суд', 'корт', 'двор', 'придворный', 'судебных', 'дворе', 'придворным', 'суда', 'суде', 'судом', 'судебные', 'судебного', 'судебной', 'двора', 'двору', 'корте', 'придворного', 'придворных', 'корта', 'кортах']"
Child,"['ребенок', 'дитя', 'детский', 'сын', 'малыш', 'младенец', 'дочерний', 'несовершеннолетний', 'ребенка', 'детского', 'детства', 'дочерних', 'младенца', 'малыша', 'несовершеннолетних', 'детей', 'ребенком', 'детской', 'детских', 'детстве', 'дочерние', 'сына', 'младенцем', 'дочернего', 'малышу', 'сыном', 'несовершеннолетнего', 'сыну', 'несовершеннолетним', 'малышом', 'дитяти', 'младенцу', 'детство']"
Assembly,"['ассамблея', 'собрание', 'монтаж', 'сборка', 'скупщина', 'сборочный', 'монтажный', 'ассамблеи', 'собраний', 'сборки', 'сборочных', 'монтажные', 'ассамблее', 'ассамблеей', 'собрания', 'собрании', 'сборке', 'сборку', 'монтажа', 'скупщины', 'сборочные', 'сборочного', 'скупщине', 'монтажных', 'скупщиной', 'монтажу', 'монтаже', 'монтажная']"
Monitoring,"['контролировать', 'следить', 'отслеживать', 'мониторинга', 'контроля', 'наблюдения', 'отслеживания', 'контрольных', 'мониторинговых', 'наблюдательных', 'осуществления контроля', 'надзора']"
Using,"['используя', 'использования', 'с помощью', 'применения', 'применяя', 'использование', 'использующие', 'использовать', 'использовании', 'использованием', 'использующих', 'применение', 'применением', 'применении', 'применять', 'применяющих', 'применив']"
Market,"['рынок', 'маркет', 'рынка', 'рыночной', 'рынке', 'рыночных', 'рынку', 'рыночные', 'рыночная', 'маркете', 'маркета', 'маркетом']"
Please,"['просьба', 'прошу', 'умоляю', 'просим', 'просят', 'просит', 'просьбы']"
Five,"['пять', 'пятеро', 'пятый', 'пятерка', 'пятерки', 'пяти', 'пятью', 'пятерых', 'пятерку', 'пятая', 'пятой', 'пятого', 'пятерым', 'пятеркой', 'ПЯТИ', 'пятерыми']"
Open,"['open', 'открытие', 'открыть', 'открытия', 'раскройте', 'откройте', 'открыт', 'открой', 'открытии', 'открытию', 'раскрыть', 'раскрывают', 'раскрыты']"
Meetings,"['совещаний', 'заседаниях', 'встречи', 'собрания', 'митинги', 'совещания', 'совещаниях', 'заседаний', 'заседания', 'встреч', 'встречах', 'совещаниями', 'заседаниями', 'собраниях', 'собраний', 'встречам', 'митингов', 'митингах', 'собрание', 'митингами']"
List,"['список', 'перечень', 'лист', 'перечислять', 'перечислить', 'списка', 'списке', 'перечня', 'перечне', 'списку', 'перечню', 'перечислите', 'перечислены', 'листа', 'листе', 'листом']"
Particularly,"['особенно', 'особо', 'особый', 'в частности', 'в особенности', 'особую', 'прежде всего', 'в первую очередь', 'особое', 'особой', 'ocoбеннo']"
Means,"['означает', 'средства', 'значит', 'способы', 'подразумевается', 'видов', 'понимается', 'средств', 'средством', 'средствами', 'означают', 'способом', 'способов', 'способ', 'подразумеваются', 'означать', 'означало', 'значат', 'понимаются', 'виды', 'значило', 'видами', 'значить', 'вид']"
Might,"['может', 'возможно', 'вероятно', 'наверное', 'способных', 'могут', 'могли', 'мог', 'способные', 'способны', 'способна']"
Change,"['изменение', 'смена', 'изменять', 'сменить', 'замена', 'переход', 'перемена', 'изменения', 'изменить', 'перемен', 'преобразований', 'изменении', 'изменению', 'перемены', 'переменам', 'смены', 'измените', 'преобразованиями', 'смене', 'смену', 'преобразования', 'изменит', 'замены', 'преобразованиям', 'замену', 'смените', 'перехода', 'замене', 'смени', 'сменим', 'переходом', 'переходу']"
Analysis,"['анализ', 'анализировать', 'аналитический', 'аналитических', 'анализа', 'анализе', 'анализу', 'аналитической', 'аналитическая', 'анализирует', 'анализируя', 'анализировал']"
Energy,"['энергия', 'энергетика', 'энергоресурсы', 'энерджи', 'энергоснабжение', 'энергопотребление', 'электроэнергия', 'энергии', 'энергетической', 'энергетики', 'энергоресурсов', 'энергоносителей', 'электроэнергии', 'энергоснабжения', 'энергопотребления', 'энергию', 'энергетических', 'энергетике', 'энергетического', 'энергетические', 'энергией', 'энергетику', 'энергоносители', 'энергоресурсам', 'электроэнергию', 'энергоресурсами', 'энергоснабжению', 'энергоносителями', 'энергопотреблением', 'энергоносителям', 'электроэнергией', 'энергоснабжении', 'энергопотреблению']"
Section,"['раздел', 'секция', 'статья', 'участок', 'сечение', 'сечения', 'разделе', 'секции', 'раздела', 'разделу', 'секцию', 'статье', 'секцией', 'статьи', 'статьей', 'участке', 'участка', 'участку', 'сечении', 'сечением']"
Home,"['домой', 'дом', 'home', 'домашний', 'родной', 'жилище', 'хоум', 'главная', 'родине', 'жилья', 'базирования']"
Centre,"['центр', 'центра', 'центре', 'центром']"
Often,"['часто', 'зачастую', 'нередко', 'чаще', 'почаще']"
Ago,"['назад', 'давности', 'нaзaд', 'назадъ']"
Total,"['итого', 'суммарный', 'сумма', 'объем', 'общая', 'полной', 'совокупные', 'тотальной', 'составляет', 'абсолютной']"
Agreement,"['соглашение', 'договор', 'согласие', 'договоренность', 'согласование', 'согласия', 'договоренности', 'согласованию', 'соглашения', 'соглашению', 'соглашении', 'договора', 'договору', 'договоре', 'согласию', 'согласии', 'согласования', 'договоренностью', 'договоренностей', 'согласовании']"
End,"['конец', 'покончить', 'энд', 'целью', 'окончания', 'конечных', 'завершения', 'прекращения', 'итоге', 'заканчиваются', 'истечении', 'прекратить', 'искоренению', 'завершить', 'краю']"
Established,"['учрежденного', 'создан', 'установлены', 'основана', 'определен', 'разработаны', 'сложившейся', 'создание', 'сформирована', 'закрепленных', 'образована', 'введена', 'налажено', 'предусмотренными', 'устоявшейся']"
Joint,"['сустав', 'соединение', 'совместных', 'объединенной', 'суставов', 'соединения', 'одновременное', 'совместной', 'совместного', 'совместное', 'объединенного', 'объединенный', 'объединенная', 'сустава', 'суставе', 'соединении', 'соединением', 'одновременного', 'одновременном']"
August,"['август', 'августовский', 'августа', 'августовской', 'августе', 'августу', 'августовского', 'августовских']"
Period,"['период', 'срок', 'течение', 'продолжительность', 'периода', 'периоде', 'периодом', 'срока', 'сроки', 'сроком', 'продолжительностью', 'продолжительности', 'течении', 'течения']"
Representative,"['представитель', 'представительница', 'представительский', 'представительным', 'репрезентативных', 'представительские', 'представителя', 'представителем', 'представителю', 'представительного', 'представительных', 'представительной', 'репрезентативной', 'репрезентативные', 'репрезентативными', 'представительницу', 'представительских', 'представительницы', 'представительского', 'представительницей']"
Mission,"['миссия', 'представительство', 'задача', 'задание', 'поездка', 'миссии', 'поездки', 'миссию', 'миссий', 'представительства', 'задачи', 'поездку', 'задачу', 'задачей', 'задании', 'поездке', 'задания', 'представительством', 'представительств', 'заданием']"
Food,"['еда', 'питание', 'пищевой', 'корм', 'фуд', 'продовольственной', 'продовольствия', 'пищи', 'продуктов питания', 'блюда', 'продуктовые']"
Staff,"['коллектив', 'посох', 'персонала', 'сотрудников', 'кадровых', 'работников', 'штабных', 'штаба', 'кадров', 'штатных', 'аппарата']"
Role,"['роль', 'функция', 'ролевой', 'функции', 'ролевые', 'роли', 'ролью', 'функций', 'ролей', 'функцию', 'ролевых', 'ролевая']"
Participation,"['участие', 'участвовать', 'вовлечение', 'представленность', 'представленности', 'участия', 'участием', 'участии', 'вовлечения', 'участвует', 'вовлечению', 'участвуют', 'участвовали', 'представленностью', 'вовлечении']"
Board,"['совет', 'комиссия', 'правление', 'комитет', 'доска', 'пансион', 'борту', 'настольные', 'платы', 'коллегии']"
Next,"['следующий', 'рядом', 'далее', 'очередной', 'будущий', 'ближайшие', 'дальше', 'будущего', 'предстоящие', 'соседней', 'следующей', 'следующего', 'следующем', 'ближайших', 'очередного', 'очередном', 'очередная', 'будущем', 'ближайший', 'будущей', 'ближайшего', 'предстоящей', 'соседнем', 'предстоящих', 'соседнюю', 'предстоящем', 'соседнего']"
City,"['город', 'городской', 'сити', 'city', 'города', 'городе', 'городом', 'городского', 'городских', 'городские', 'си́ти']"
South,"['юг', 'саут', 'южной', 'южная', 'южного', 'южном', 'юге', 'юга', 'югу', 'саута']"
Present,"['подарок', 'сегодняшний', 'присутствие', 'настоящего', 'нынешней', 'представить', 'присутствующих', 'текущей', 'представления', 'изложить', 'предъявить']"
Great,"['отличный', 'великолепный', 'замечательный', 'здорово', 'классный', 'круто', 'супер', 'много', 'великих', 'большое', 'огромное', 'прекрасная', 'значительные', 'глубокую', 'широкие']"
Persons,"['лиц', 'человек', 'личности', 'персон', 'лица', 'лицам', 'лицами', 'людей', 'людьми', 'человека', 'персоны', 'личностей', 'личностями', 'личность', 'персонам', 'персонами']"
Production,"['производство', 'изготовление', 'выпуск', 'добыча', 'продукция', 'постановка', 'выработка', 'производства', 'производственных', 'продукции', 'добычи', 'выработку', 'постановке', 'производстве', 'производству', 'производственные', 'производственной', 'производственного', 'изготовления', 'продукцию', 'добычу', 'выпуска', 'добыче', 'продукцией', 'выпуску', 'изготовлении', 'изготовлению', 'выработки', 'выпуске', 'постановку', 'выработке', 'постановки']"
