Eng,Rus 
Aft,"['кормовой', 'aft', 'ПИТ', 'корме', 'задней', 'части', 'кормовые', 'кормовая', 'кормовым', 'корму', 'кормы', 'задние', 'задний']"
Constitutive,"['учредительный', 'учредительного', 'конститутивные', 'составных', 'уставных', 'составляющих', 'правообразующей', 'образуют', 'правоустанавливающие', 'конституирующего', 'учредительном', 'учредительных', 'составные', 'уставным', 'конститутивных', 'уставные', 'конститутивными', 'составными', 'конститутивный', 'составляющие']"
Constructor,"['конструктор', 'строитель', 'constructor', 'созидатель', 'изготовитель', 'конструктора', 'конструкторе', 'конструктором', 'строителей', 'строителем', 'строителя', 'созидателе', 'изготовителя']"
Domino,"['domino', 'домино', 'до́мино']"
Duct,"['канал', 'проток', 'трубопровод', 'воздуховод', 'воздуховода', 'канальные', 'клейкая', 'трубу', 'короб', 'канала', 'протоков', 'протока', 'воздуховодов', 'канале', 'клейкую', 'каналов', 'труба', 'воздуховоде', 'трубы', 'канального', 'трубопроводу', 'трубопровода', 'канальный', 'протоке']"
Electrostatic,"['электростатические', 'электрофорная', 'статический', 'электростатического', 'электростатических', 'электростатическое']"
Emilio,"['эмилио', 'emilio', 'эми́лио']"
Exogenous,"['экзогенный', 'экзогенных', 'внешних', 'эксогенных', 'экзогенного', 'экзогенные', 'внешние', 'внешними', 'внешним']"
Gig,"['концерт', 'выступление', 'работа', 'гичка', 'gig', 'гиг', 'работенка', 'подработка', 'выступаю', 'джидж', 'халтура']"
Hampers,"['препятствует', 'затрудняет', 'мешает', 'тормозит', 'сдерживает', 'препятствия', 'хамперс', 'препятствуют', 'тормозят', 'препятствующей', 'затрудняют', 'препятствующих', 'мешают']"
Kostroma,"['костромской', 'кострома', 'костроме', 'костромы', 'костромского', 'костромская', 'кострому', 'костромских']"
Labourers,"['рабочих', 'работников', 'работающих', 'трудящихся', 'труда', 'разнорабочих', 'чернорабочих', 'тружеников', 'рабочие', 'работники', 'рабочим', 'рабочими', 'работающие', 'работникам', 'трудящимся', 'трудящиеся', 'работниками', 'разнорабочие', 'труд', 'работают']"
Narrowly,"['узко', 'едва', 'узкое', 'в узком смысле', 'узкую', 'узкой', 'узкие']"
Nicknames,"['никнеймы', 'прозвища', 'клички', 'ники', 'псевдонимы', 'имена', 'ников', 'прозвищ', 'прозвищами', 'прозвищах', 'никнеймов', 'псевдонимами', 'псевдонимов']"
Operationally,"['оперативно', 'функционально', 'операционно', 'оперативной', 'в оперативном плане', 'с оперативной точки зрения', 'деятельность', 'в практическом плане', 'в отношении', 'с операционной точки зрения']"
Paternity,"['отцовство', 'отец', 'отцовского', 'по уходу за ребенком', 'отпусков', 'в связи с отцовством', 'отцовства', 'отцовстве', 'отцовству', 'отца', 'отцов', 'отцовский']"
Premiered,"['премьера', 'премьера состоялась', 'состоялась', 'первая', 'состоялся', 'премьеры', 'премьеру', 'главных']"
Ridges,"['хребты', 'гряды', 'гребни', 'риджэс', 'риджес', 'гребешков', 'кряжей', 'хребтов', 'хребтах', 'хребтами', 'гряд', 'грядах', 'гребнями', 'грядами', 'гребней', 'риджеса', 'риджэсе', 'гребня', 'риджэсом']"
Tirelessly,"['неустанно', 'неутомимо', 'не покладая рук', 'без устали', 'неустанную', 'безустанно', 'неустанные', 'прилагает неустанные усилия']"
Ulyanovsk,"['ульяновск', 'ульяновске', 'ульяновска', 'ульяновску', 'иланской']"
Vial,"['флакон', 'пробирка', 'пузырек', 'сосуд', 'пробирку', 'ампулу', 'виаль', 'склянка', 'виал', 'фиал', 'пробирки', 'флакона', 'флаконе', 'пробирке', 'ампуле', 'ампула', 'ампулы', 'пузырьке', 'флаконах', 'пузырька']"
Amphetamine,"['амфетамин', 'амфетамина', 'амфетаминовой', 'амфитамина', 'амфетамином', 'амфетаминов', 'фенамин']"
Bhutanese,"['бутанских', 'бутана', 'бутанские', 'бутанским', 'бутанского', 'бутане', 'с бутанками']"
Bravery,"['храбрость', 'мужество', 'смелость', 'отвага', 'отвагу', 'храбрости', 'храбростью', 'отваги', 'мужеству', 'отваге', 'мужества', 'смелости', 'смелостью', 'мужеством']"
Briefs,"['записки', 'информирует', 'брифинги', 'сводок', 'кратких', 'брифы', 'briefs', 'информацию', 'трусиками', 'инструктирует', 'пенти']"
Corrigenda,"['исправление', 'исправления', 'исправлений', 'исправлениям']"
Expediency,"['целесообразность', 'оперативность', 'целесообразности', 'оперативности', 'соображениям', 'выгоды', 'оппортунизму', 'беспринципностью', 'целесообразностью']"
Frontline,"['frontline', 'фронтлайн', 'прифронтовых', 'первая линия', 'линии фронта', 'передовой', 'оперативным', 'передовой линии', 'линии соприкосновения', 'передовых рубежах']"
Glaucoma,"['глаукома', 'глаукомного', 'глаукомы', 'глаукомой', 'глаукоме', 'глаукомных', 'глаукомный']"
Heartbeat,"['сердцебиение', 'heartbeat', 'пульс', 'сердце', 'биение сердца', 'удар сердца', 'сердечного ритма', 'мгновение', 'сердцебиения', 'пульса', 'сердцебиении', 'сердца', 'биением сердца', 'сердцем', 'ударом сердца', 'сердечный ритм']"
Humidifier,"['увлажнитель', 'увлажнителя', 'увлажнителем', 'увлажнители']"
Kiln,"['печь', 'печной', 'печи', 'килн', 'печей', 'печью']"
Lancaster,"['ланкастер', 'lancaster', 'ланкастерский', 'ланкастерского', 'ланкестер', 'ланкастера', 'ланкастере', 'ланкастером', 'ланкастерским', 'ланкастерской']"
Lump-sum,"['единовременное', 'паушальной', 'выплаты единовременной суммы', 'выплаты паушальной суммы', 'аккордная', 'единовременно', 'единоразовую', 'единовременных', 'единовременной', 'единовременные', 'паушальных', 'паушального', 'паушальную', 'выплату паушальной суммы']"
Nassau,"['нассау', 'nassau', 'нассауский', 'насау', 'нассо', 'нассауского', 'несо']"
Snowboard,"['сноуборд', 'snowboard', 'сноубордический', 'катаются', 'сноуборде', 'сноуборда', 'сноубордов', 'сноубордические', 'сноубордических']"
Soprano,"['сопрано', 'soprano', 'певица']"
Tongues,"['языки', 'язычки', 'языках', 'языков', 'язык']"
Accuse,"['обвинять', 'обвиняют', 'упрекнуть', 'обвинению', 'обвинить', 'обвиняете', 'упрекают', 'обвинения', 'вменяешь']"
Adjournment,"['перерыв', 'отсрочка', 'го', 'перенос', 'завершения', 'закрытия', 'отложить', 'заседания', 'прервать', 'перерыва', 'отсрочки', 'отсрочке', 'перерыве', 'перерыву', 'переносе', 'закрытие', 'отсрочку']"
Alzheimer,"['альцгеймер', 'альцхаймер', 'альцгеймера', 'болезнь альцгеймера', 'болезни альцгеймера', 'болезнью альцгеймера', 'альцгеймером', 'альцгеймере', 'болезней альцгеймера']"
Bankrupt,"['банкрот', 'банкротство', 'банкротом', 'обанкротившейся', 'разорить', 'обанкротить', 'несостоятельной', 'неплатежеспособным', 'банкротных', 'банкротами', 'обанкротившихся', 'обанкротившегося', 'банкрота', 'обанкротившийся', 'банкротства', 'несостоятельным']"
Bungalows,"['бунгало', 'bungalows', 'в бунгалах', 'хатовый']"
Caramel,"['карамель', 'карамельный', 'caramel', 'кармель', 'карамели', 'карамелью', 'карамельным', 'карамельного', 'карамельные', 'салоне caramel']"
Denominated,"['деноминированные', 'выраженных', 'с номиналами', 'валюте', 'обозначенные', 'деноминированных', 'выраженные', 'деноминированы', 'деноминированным', 'выраженной', 'выраженным']"
Fossils,"['окаменелости', 'ископаемые', 'останки', 'фоссилии', 'окаменелые', 'окаменелостей', 'окаменелостях', 'ископаемых', 'окаменелостям', 'ископаемыми', 'ископаемым', 'останков']"
Gallons,"['галлонов', 'литров', 'галлоны', 'галлона', 'галлонах', 'литрами', 'литры']"
Greet,"['встречать', 'здороваться', 'приветствую', 'приветствия', 'приветствуйте', 'приветствуем', 'приветствуют', 'встречают', 'встречаешь', 'встретить', 'здороваются', 'приветствие']"
Novice,"['новичок', 'начинающий', 'послушник', 'послушница', 'начинающих', 'начинающим', 'начинающие', 'новичка', 'новичков', 'новичку', 'послушником', 'послушника', 'послушницей']"
Poisons,"['яды', 'отравляет', 'отравы', 'токсикологических', 'травит', 'ядовитых', 'отравление', 'ядов', 'ядам', 'ядами', 'отравляющие', 'отравляют', 'отравляющих', 'отрав']"
Polyamide,"['полиамид', 'полиамидный', 'полиамидные', 'полиамида', 'полиамидных', 'полиамидной', 'полиамидом', 'полиамиде']"
Reformation,"['реформирование', 'реформация', 'исправление', 'перевоспитание', 'реформации', 'преобразования', 'реформационного', 'реформирования', 'реформированию', 'реформацию', 'реформировании', 'преобразовании', 'преобразование', 'реформацией', 'исправлению', 'исправления', 'перевоспитания']"
Roth,"['рот', 'roth', 'рота', 'ротт', 'ротом', 'роту', 'роф']"
Terrified,"['в ужасе', 'напуган', 'боюсь', 'испуганным', 'страшно', 'испугана', 'перепуганные', 'запуганы', 'ужасаться', 'запуганным', 'ужасной', 'испуганно']"
Workspace,"['workspace', 'рабочее пространство', 'рабочей области', 'рабочее место', 'рабочие помещения', 'рабочей зоной', 'рабочий стол', 'служебных помещений', 'рабочего пространства', 'рабочем пространстве', 'рабочая область', 'рабочую область', 'рабочего места', 'рабочая зона', 'рабочей зоне']"
Agios,"['агиос', 'айос', 'agios', 'святого', 'агиоса']"
Beni,"['beni', 'бени', 'бене']"
Biennale,"['биеннале', 'biennale', 'бьеннале', 'фотобиеннале', 'биеннале современного искусства', 'биенале']"
Bryant,"['брайант', 'bryant', 'брайнт', 'брейнт', 'браент', 'бриант', 'брайанта', 'брайантом', 'брайанту', 'коби']"
Celia,"['селия', 'силия', 'сэли', 'селиа', 'целия', 'с силией', 'селии', 'селию', 'селией', 'силию', 'силии']"
Curitiba,"['куритиба', 'куритибе', 'куритибы', 'куритибскую']"
Entrust,"['поручать', 'доверить', 'поручить', 'возложить', 'вверяю', 'доверьте', 'доверяют', 'поручают', 'доверяем', 'возлагают', 'поручаем', 'вверить', 'вверяем', 'возлагает', 'вверяют']"
Euro-atlantic,"['евроатлантической', 'евроатлантики', 'атлантическим', 'евроатлантического', 'евроатлантические', 'евроатлантических', 'евроатлантике', 'евроатлантинческой']"
Fatah,"['фатх', 'фаттах', 'фатах', 'фатаха', 'фатха', 'фаттаха', 'фатхом', 'фаттахе', 'фаттахом']"
Gaga,"['гага', 'gaga', 'певицы', 'lady gaga', 'гаги', 'гагу', 'гагой']"
Harald,"['харальд', 'гаральд', 'harald', 'харалд', 'харольд', 'харальда', 'харальдом', 'харальду', 'гаральда', 'гаральду']"
Linens,"['постельное белье', 'для столовое белье', 'для столовые принадлежности', 'для столовое полотно', 'постельным бельем', 'постельного белья', 'для столовые белья', 'для постельные принадлежности']"
Meaningfully,"['реально', 'конструктивно', 'реальный', 'существенный', 'эффективно', 'осмысленно', 'значимое', 'конструктивное', 'предметно', 'содержательно', 'полноценно', 'эффективного', 'многозначительно']"
Miner,"['шахтер', 'майнер', 'miner', 'горняк', 'шахтерской', 'компании', 'добытчика', 'минер', 'горнорабочий', 'горнодобывающие', 'рудокоп', 'минирующая', 'старателя']"
Risk-based,"['основанного на оценке риска', 'с учетом рисков', 'на основе оценки рисков', 'с учетом факторов риска', 'рисков', 'основанного на учете факторов риска', 'основанного на анализе рисков', 'на основе анализа рисков', 'на основе факторов риска', 'рискориентированный', 'основанный']"
Rustam,"['рустам', 'рустама', 'рустамом', 'рустаму']"
Slick,"['пятно', 'слик', 'скользкий', 'slick', 'ловкий', 'разлив', 'ловкач', 'гладкой', 'пленки', 'слизняк', 'хитрюшка', 'стиляга', 'хитро', 'пройдохой', 'прилизанного']"
Wrongdoing,"['преступление', 'нарушителя', 'нарушения', 'правонарушения', 'противоправные действия', 'неправомерных действиях', 'проступках', 'противоправных деяний', 'неправомочных действиях', 'прегрешения', 'неправильных действий', 'противозаконного действия']"
Augustus,"['август', 'огастес', 'augustus', 'огастас', 'огастус', 'аугустус', 'октавиана', 'агастас', 'агастус', 'августа', 'августом', 'августу', 'огастеса', 'огастесом']"
Categorization,"['классификация', 'категоризация', 'классификации', 'категоризации', 'категории', 'разбивка', 'распределение', 'категорийность', 'категорирование', 'категоризацию', 'классификацию', 'классификацией', 'категоризацией', 'категориям', 'категориями', 'категорий']"
Dynamite,"['динамит', 'dynamite', 'динамитных', 'взорвите', 'динамита', 'динамитом', 'динамиту']"
Fowler,"['фаулер', 'фоулер', 'fowler', 'фулер', 'птицелова', 'фаулера', 'фаулером', 'фаулеру']"
Grown-up,"['взрослый', 'по-взрослому', 'повзрослевшие', 'выросла', 'взрослые', 'взрослая', 'взрослым', 'повзрослевшей', 'взросло']"
Halifax,"['галифакс', 'halifax', 'халифакс', 'галифаксская', 'галифаксе', 'галифакса', 'галифаксом', 'халифаксе']"
Hallucinations,"['галлюцинации', 'глюки', 'галюцинации', 'галлюцинаций', 'галлюцинациями', 'галлюцинациям']"
Insistence,"['настойчивость', 'требование', 'упорство', 'настаивание', 'стремление', 'настаивает', 'настоянию', 'настойчивое требование', 'настойчивое стремление', 'упорное', 'настойчивые утверждения', 'требовательность']"
Interprets,"['интерпретирует', 'толкует', 'истолковывает', 'трактует', 'толкование', 'интерпретация', 'интерпретируют', 'интерпретировать', 'интерпретировал', 'толкования', 'интерпретацию']"
Meta,"['мета', 'meta', 'метаданных', 'метачеловек', 'мете', 'меты', 'метасистема', 'метаигре']"
Observational,"['наблюдений', 'наблюдательных', 'обсервационное', 'наблюдения', 'наблюдательной', 'наблюдательные', 'наблюдательное', 'наблюдение', 'обсервационных', 'обсервационные', 'обсервационная']"
Overlooks,"['с видом', 'выходит', 'возвышается', 'игнорирует', 'открывается', 'выходят', 'выходящей', 'выходящий', 'пренебрегает']"
Panamanian,"['панамских', 'панамы', 'панамцев', 'панамского', 'панамские', 'панамской', 'панама', 'панаме', 'панамцем']"
Physiotherapy,"['физиотерапия', 'физиотерапевтических', 'лечебная гимнастика', 'лечебная физкультура', 'физиотерапевтов', 'физиопроцедуры', 'кинезитерапия', 'физио', 'физиотерапии', 'физиотерапию', 'физиотерапевтические', 'физиотерапевтическое', 'физиотерапией', 'физиотерапевтической', 'лечебную гимнастику', 'физиотерапевта', 'лечебной гимнастикой']"
Poznan,"['познань', 'познани', 'познаньской', 'познанской', 'познаньского', 'познаньская', 'познаньский']"
Prefectures,"['префектурах', 'префектур', 'префектуры', 'префектурами', 'номах']"
Protesting,"['протестуя', 'протеста', 'протестный', 'опротестовав', 'митинговавших', 'выражает протест в связи', 'протест', 'протестующих', 'протестовавших', 'протесты', 'протестовать', 'протестов']"
Saxony,"['саксония', 'саксонии', 'саксонская', 'саксонию', 'саксонской', 'саксонского', 'саксонией', 'саксонский']"
Scorpion,"['скорпион', 'scorpion', 'скорпиона', 'скорпионов', 'скорпионом']"
Spoiled,"['испортил', 'избалованная', 'баловать', 'порченые', 'порчи', 'разбалованной', 'прокисшее', 'испорчен', 'испортили', 'испортила', 'избалованный', 'избалованной', 'избалованных', 'баловали', 'баловал']"
Zhou,"['чжоу', 'zhou', 'трак', 'жоу']"
Chill,"['chill', 'холод', 'холодный', 'озноб', 'чилл', 'остынь', 'расслабься', 'успокойся', 'охладите', 'отдохнуть', 'охлаждения', 'прохлада', 'чил', 'спокуха', 'обдайте']"
Esteemed,"['уважаемый', 'почитаемого', 'глубокоуважаемого', 'почтенный', 'многоуважаемый', 'высокочтимый', 'естемед', 'уважаемого', 'уважаемые', 'уважаемым', 'почитаемых', 'почитаемым', 'почитаемый', 'глубокоуважаемых']"
Finely,"['мелко', 'тонко', 'точно', 'тонкой', 'мелкопузырчатые', 'изысканно', 'филигранно', 'тонкого']"
Forbade,"['запретил', 'запрет', 'воспрещал', 'запрещает', 'запрещал', 'запретили']"
Managua,"['манагуа', 'манагуанский']"
Mirziyoyev,"['мирзиеев', 'мирзиеева', 'мирзиеевым', 'мирзиееву']"
Penelope,"['пенелопа', 'penelope', 'пенелоуп', 'пенелопы', 'пенелопу', 'пенелопой', 'пинелопи']"
Prix,"['prix', 'приз', 'премию', 'гран-при', 'премия', 'премии', 'прикс', 'grand prix']"
Replaceable,"['сменный', 'сменных', 'заменяемые', 'съемным', 'замене', 'заменимый', 'сменяемым', 'сменным', 'сменные', 'заменяемым', 'заменяемыми', 'заменяемых', 'съемных', 'съемная']"
Self-contained,"['автономный', 'самодостаточный', 'автономных', 'самостоятельных', 'самодостаточным', 'отдельных', 'замкнутым', 'автономные', 'автономным', 'самодостаточной', 'самостоятельную', 'самостоятельные', 'самостоятельным', 'самодостаточные', 'отдельной', 'отдельного', 'отдельные', 'замкнутой']"
Stewie,"['стьюи', 'стюи', 'стью', 'стьию']"
Titanic,"['титаник', 'titanic', 'титанический', 'титанической', 'титаника', 'титанике', 'титанические', 'титанических', 'титанику']"
Tulips,"['тюльпаны', 'тюльпанов', 'тюльпанами', 'тюльпан']"
Valiant,"['доблестный', 'valiant', 'храбрый', 'валиант', 'вэлиант', 'отважных', 'мужественные', 'героические', 'смелых', 'сильные', 'молодецкого']"
Vitally,"['жизненно', 'чрезвычайно', 'крайне', 'исключительно', 'кровно', 'имеет', 'важную']"
Affixed,"['проставленный', 'прикреплены', 'размещены', 'нанесены', 'наклеиваемые', 'вклеенной', 'знаки', 'наложенные', 'прикрепляемой', 'прикрепленных', 'прикрепленные', 'размещенная', 'проставляемый', 'проставлена', 'размещена', 'нанесена', 'наносимой', 'проставленном', 'нанесен']"
Aromas,"['ароматы', 'запахи', 'ароматизаторов', 'аромат', 'ароматами', 'ароматов', 'ароматизаторы', 'запахами', 'ароматических']"
Asian-african,"['афро-азиатский', 'афро-азиатского', 'афроазиатской', 'афро-азиатская', 'афро-азиатской']"
Carver,"['карвер', 'резчик', 'карве', 'карвера', 'карверу', 'карвером', 'резчика', 'резчиком']"
Cassette,"['кассетный', 'кассета', 'cassette', 'блок', 'кассету', 'аудиокассет', 'кассеты', 'кассетные', 'кассетного', 'кассете', 'кассетная', 'блока']"
Deactivated,"['деактивирована', 'отключена', 'обезврежены', 'дезактивирована', 'выключить', 'отключения', 'деактивации', 'выключения', 'деактивировать', 'деактивирован', 'отключен', 'деактивированы', 'отключенной', 'отключены', 'выключен', 'обезврежено', 'выключена', 'обезврежена', 'дезактивированный', 'обезвредили', 'дезактивированного']"
Hasty,"['поспешно', 'спешить', 'торопливый', 'поспешных', 'опрометчивых', 'необдуманное', 'скоропалительных', 'торопиться', 'хэсти', 'погорячился', 'скороспелые']"
Hua,"['хуа', 'hua', 'хyа', 'от hua']"
Islanders,"['островитяне', 'жителей островов', 'айлендерс', 'выходцы с островов', 'население островов', 'островитян', 'жители островов', 'жители острова', 'жителями островов', 'островитянам', 'островитянами', 'выходцев с островов']"
Mikey,"['майк', 'мики', 'майки', 'майка']"
Monolithic,"['монолитных', 'монолитно', 'единой', 'монолитного', 'монолитные', 'монолитной']"
Nominate,"['выдвигать', 'назначать', 'номинировать', 'выдвижение', 'назначить', 'выдвинуть', 'предлагают кандидатуры', 'назначение', 'номинативный', 'назначают', 'выдвигают', 'назначит', 'выдвигаю', 'номинируют', 'номинировали', 'номинирую', 'предложить кандидатуру']"
Pauline,"['полин', 'паулин', 'pauline', 'павла']"
Sub-section,"['подраздел', 'пункт', 'подразделе', 'подраздела', 'подразделом', 'пункте', 'пункта', 'пунктом', 'в подпункте']"
Vermeer,"['vermeer', 'корпорация vermeer', 'вермеер', 'вермер', 'вермеера', 'корпорации vermeer', 'корпорацией vermeer', 'вермеером', 'вермера']"
Aqrah,"['акрой', 'акры', 'агрой', 'акрахом', 'акра', 'агры']"
Bako,"['бако', 'республики арцах бако', 'президент арцаха']"
Becca,"['бекка', 'бэкка', 'бекки', 'бекку', 'беккой', 'бэкки', 'бэкке', 'бэккой']"
Bran,"['отруби', 'bran', 'брэн', 'бран', 'брану', 'браном', 'отрубей', 'брана', 'отрубями', 'отрубях']"
Bundles,"['связки', 'пучки', 'пакеты', 'расслоения', 'пачки', 'наборы', 'комплекты', 'жгуты', 'свертка', 'бандлы', 'вязанки', 'бандлов']"
Cincinnati,"['cincinnati', 'цинцинатти', 'цинциннати', 'цинцинати', 'отавале', 'цинциннатти', 'отавала']"
Field-based,"['полевой', 'на местах', 'полевых', 'местных', 'полевые', 'полевыми', 'местного', 'на места', 'местные']"
Headlights,"['фары', 'фар', 'фарами', 'фара']"
Hinge,"['шарнир', 'зависеть', 'шарнирный', 'петля', 'петли', 'откидной', 'петельный', 'дверной', 'петель', 'шарниром', 'шарнира', 'зависят', 'зависит', 'шарнирная', 'петлю', 'шарнирного', 'шарнире', 'шарнирные']"
I-i'm,['я я']
Intercountry,"['межстрановой', 'между странами', 'межгосударственного', 'международных', 'межстрановых', 'межстрановые', 'межстрановая', 'межгосударственное']"
Marries,"['женится', 'выходит замуж', 'вступает в брак', 'свадьбы', 'состоящими в браке', 'женился', 'выйдет замуж', 'вышла замуж', 'выходящая замуж', 'вступающий в брак', 'женятся', 'вступающая в брак', 'женившегося']"
Mistaken,"['ошибочное', 'ошибся', 'ошибкой', 'ошибочно', 'заблуждаются', 'перепутать', 'спутать', 'путают', 'ошибочного', 'ошибочной', 'ошибочные', 'ошибаюсь', 'ошибка', 'ошибается', 'ошибки', 'ошиблась', 'ошибке']"
Pinch,"['щепотка', 'пинч', 'pinch', 'гречка', 'ущипнуть', 'зажать', 'пережимные', 'щипать', 'защемления', 'прижимного', 'щипка', 'пережала']"
Pontifical,"['папский', 'папского', 'понтификального', 'архиерейским', 'папской', 'папском', 'понтификальной', 'понтификальный']"
Practising,"['практикующих', 'заниматься', 'практики', 'исповедующих', 'исповедование', 'применять', 'исповедания', 'обрядов', 'практикующие', 'практикующий', 'практикующими', 'практике', 'исповедовать', 'практика', 'практику', 'занимающиеся', 'исповедует', 'занимается', 'занимающихся', 'исповедующим']"
Reconsidered,"['пересмотрен', 'вновь рассмотрен', 'повторно рассмотрен', 'пересмотру', 'переосмыслена', 'передумал', 'повторному рассмотрению', 'пересмотрено', 'пересмотрены', 'пересмотрена', 'вновь рассмотрела', 'вновь рассмотрено', 'вновь рассмотрена', 'переосмыслили']"
Sherry,"['шерри', 'херес', 'sherry', 'шери', 'хересные', 'хереса', 'хересом']"
State-run,"['государственных', 'управляемые государством', 'государственные', 'государственной', 'государственным']"
Sublime,"['sublime', 'возвышенный', 'возвышенное', 'высокое', 'величественной', 'грандиозным', 'величайший', 'превышних', 'сублим', 'возвышенной', 'возвышенные', 'высокий', 'величественный', 'величественные', 'величественное', 'высокие', 'высшая', 'грандиозна']"
Chased,"['преследовали', 'гнался', 'гонялся', 'прогнал', 'загнал', 'бегали', 'преследование', 'охотился', 'гонимые', 'чеканная']"
Davies,"['дэвис', 'дейвис', 'дэйвис', 'davies', 'девис', 'дэвиса', 'дэвисом', 'дэвису', 'дейвисом', 'дэйвисом', 'дэйвиса', 'дейвиса', 'дейвису', 'дэйвису']"
Dryland,"['засушливых', 'в засушливых районах', 'богарным', 'земель', 'засушливые', 'засушливыми']"
Intrusive,"['интрузивных', 'навязчивые', 'назойливые', 'жесткие', 'вмешательства', 'характер', 'интрузивные', 'интрузивным', 'интрузивными', 'навязчивым', 'навязчивой', 'навязчиво', 'назойливых', 'назойливыми', 'назойливым', 'вмешательством']"
Non-paper,"['неофициальный документ', 'рабочий материал', 'неофициальный материал', 'рабочему документу', 'небумажных', 'неофициальном документе', 'неофициального документа', 'неофициальному документу', 'рабочем материале', 'рабочий документ']"
Rapprochement,"['сближение', 'согласия', 'сближения', 'сближению', 'сближении']"
Refoulement,"['возвращение', 'refoulement', 'выдворение', 'высылка', 'принудительного возвращения', 'возвращения', 'высылки', 'выдворения', 'принудительное возвращение', 'принудительном возвращении', 'высылку', 'выдворению', 'высылке', 'принудительному возвращению', 'выдворении', 'возвращении', 'возвращением']"
Sicilian,"['сицилийский', 'сицилиец', 'сицилийской', 'сицилии', 'сицилианской', 'по-сицилийски', 'сицилийского', 'сицилийская', 'сицилийца', 'сицилия', 'сицилианская']"
Subscribed,"['подписанных', 'поддерживает', 'присоединяется', 'разделяет', 'подписка', 'подписным', 'подписан', 'подписанные', 'присоединилась', 'подписаны', 'поддерживают', 'поддержали', 'разделяют', 'присоединился', 'присоединились', 'подписку', 'поддержала', 'подписки']"
Vet,"['ветеринар', 'ветеран', 'vet', 'проверки', 'проверить', 'вет', 'ветклинику', 'типо', 'ветеринару', 'ветеринара', 'ветеринаром', 'ветерана', 'ветераном', 'проверке', 'проверку', 'ветеранов', 'проверять']"
Whichever,"['какой бы', 'в зависимости от того', 'независимо от', 'смотря по тому', 'кто бы', 'на какой', 'каком бы то ни', 'какую бы', 'какая бы', 'какое бы']"
Aleksey,"['алексей', 'алексея', 'алексеем', 'алексею']"
Baptized,"['крестил', 'крещение', 'крещен', 'крещены', 'крещена', 'крещении']"
Bouaké,"['буаке', 'бваке']"
Bremen,"['bremen', 'бременский', 'бремен', 'бременского', 'в бремене', 'бремена', 'бременском', 'бременские']"
Defeats,"['поражений', 'побеждает', 'одержал победу', 'одолевает', 'разгромил', 'обыграла', 'разбили', 'проиграно', 'поражения', 'победил', 'поражениях', 'поражениями', 'победит', 'победить', 'одерживает победу']"
Developing-country,"['развивающихся стран', 'являющихся развивающимися странами', 'являющихся', 'являющимся развивающимися странами', 'развивающихся странах', 'являющимися развивающимися странами', 'являющиеся развивающимися странами']"
Fictitious,"['вымышленный', 'фиктивный', 'фиктивные', 'выдуманные', 'фиктивно', 'фиктивных', 'фиктивным', 'вымышленными', 'вымышленные', 'вымышленной', 'выдуманный', 'выдуманного', 'выдуманных']"
Fleets,"['флотов', 'парков', 'автопарков', 'флотилии', 'автохозяйств', 'авиапарков', 'парка автотранспортных средств', 'флоты', 'флота', 'флот', 'парка', 'парк', 'парки', 'флотилий', 'автопарки', 'автопарком', 'флотилиям', 'автопарк', 'флотилиями']"
Freeing,"['освобождая', 'освобождение', 'избавление', 'высвобождение', 'высвободив', 'избавить', 'свободного', 'свобода', 'освобождения', 'освободив', 'освободить', 'освобождении', 'освобождению', 'избавления', 'высвобождения', 'освобождает', 'избавив', 'избавлению', 'высвободить', 'высвобождая', 'высвобождению', 'свободный']"
Ifis,"['МФУ', 'МФИ', 'международными финансовыми учреждениями', 'МФО', 'международных финансовых организаций', 'МКФО', 'международные финансовые учреждения', 'международных финансовых учреждений', 'международным финансовым учреждениям']"
Inherit,"['наследовать', 'наследование', 'получать наследство', 'наследуют', 'наследует', 'наследования', 'наследуем', 'наследовании', 'получить наследство']"
Layouts,"['макеты', 'планировки', 'раскладки', 'лейауты', 'схемы', 'планы', 'компоновки', 'типовых форм', 'расположение', 'верстки', 'разметка']"
Not-for-profit,"['некоммерческой', 'недоходной', 'бесприбыльной', 'некоммерческих', 'некоммерческая', 'некоммерческие', 'о деятельности некоммерческих организаций']"
Oppressive,"['состояние', 'репрессивных', 'жестокой', 'гнетущей', 'угнетения', 'деспотичных', 'деспотических', 'угнетающей', 'подавления', 'давящей', 'угнетательскую', 'тягостной', 'тиранических', 'притеснительных']"
Repent,"['покаяться', 'раскаяться', 'покаяние', 'покайтесь', 'покайся', 'покаялись', 'раскаиваюсь', 'раскаиваются', 'раскаиваться']"
Treaty-based,"['конвенционный', 'контексте', 'договорные', 'договоров', 'разбирательств', 'основанный на международных договорах', 'договорных', 'договорными', 'договорного', 'договорах', 'конвенционное']"
Tuva,"['тува', 'тыва', 'туве', 'тувинской', 'тувинцы', 'тувы', 'туву', 'тыве', 'тувинский', 'тувинского', 'тувинских']"
Worsened,"['ухудшилось', 'ухудшение', 'обострилась', 'усугубилась', 'еще более ухудшилось', 'еще более усугубил', 'ухудшилась', 'ухудшились', 'ухудшился', 'ухудшения', 'обострились', 'ухудшению', 'усугубляется', 'усугубилось', 'ухудшением', 'усугубились', 'обострилось', 'обострился', 'еще более ухудшилась']"
Booths,"['кабины', 'стенды', 'будки', 'киосков', 'кабинки', 'шалашах', 'кущи', 'будочках', 'кущах', 'ларьки']"
